Symbol,Date,Open,High,Low,Close,Adj Close,Volume
RIVN,2021-11-10,106.750000,119.459999,95.199997,100.730003,100.730003,103679500
RIVN,2021-11-11,114.625000,125.000000,108.010002,122.989998,122.989998,83668200
RIVN,2021-11-12,128.645004,135.199997,125.250000,129.949997,129.949997,50437500
RIVN,2021-11-15,130.800003,152.529999,127.510002,149.360001,149.360001,64982300
RIVN,2021-11-16,163.800003,179.470001,153.779999,172.009995,172.009995,94036600
RIVN,2021-11-17,160.880005,163.000000,140.350006,146.070007,146.070007,71765600
RIVN,2021-11-18,136.809998,138.779999,120.150002,123.379997,123.379997,63603600
RIVN,2021-11-19,129.979996,139.899994,125.599998,128.600006,128.600006,49368200
RIVN,2021-11-22,123.879997,124.930000,106.910004,118.110001,118.110001,40993900
RIVN,2021-11-23,117.830002,124.000000,113.000000,119.849998,119.849998,24967900
RIVN,2021-11-24,119.379997,120.000000,113.449997,114.849998,114.849998,11539200
RIVN,2021-11-26,111.000000,114.500000,106.139999,112.129997,112.129997,9871200
RIVN,2021-11-29,115.849998,122.250000,113.599998,119.769997,119.769997,13897700
LCID,2021-11-10,42.299999,45.000000,39.341000,40.750000,40.750000,79342800
LCID,2021-11-11,42.750000,45.750000,41.740002,44.980000,44.980000,69846300
LCID,2021-11-12,44.000000,45.189999,42.740002,43.930000,43.930000,40899600
LCID,2021-11-15,44.599998,46.139999,43.410000,44.880001,44.880001,77111000
LCID,2021-11-16,49.930000,55.680000,46.508999,55.520000,55.520000,248654600
LCID,2021-11-17,56.200001,57.750000,50.310001,52.549999,52.549999,198386200
LCID,2021-11-18,49.029999,49.669998,43.000000,47.049999,47.049999,131634800
LCID,2021-11-19,47.160000,55.400002,47.150002,55.209999,55.209999,166276500
LCID,2021-11-22,53.035000,57.439999,50.080002,51.119999,51.119999,130761800
LCID,2021-11-23,51.674999,54.330002,49.520000,52.439999,52.439999,87998800
LCID,2021-11-24,51.740002,53.500000,49.830002,52.570000,52.570000,61225300
LCID,2021-11-26,49.450001,52.369999,49.412998,51.720001,51.720001,36708000
LCID,2021-11-29,52.029999,55.330002,50.709999,55.060001,55.060001,76581500
GM,2021-11-10,57.849998,60.560001,57.730000,59.270000,59.270000,22778600
GM,2021-11-11,59.820000,62.150002,59.310001,61.820000,61.820000,29033900
GM,2021-11-12,61.590000,64.029999,61.279999,63.400002,63.400002,31142800
GM,2021-11-15,63.660000,63.730000,62.630001,62.970001,62.970001,14372100
GM,2021-11-16,63.240002,63.279999,61.930000,62.610001,62.610001,16115000
GM,2021-11-17,63.330002,65.070000,62.380001,64.610001,64.610001,29983400
GM,2021-11-18,64.330002,65.180000,62.090000,62.330002,62.330002,23308100
GM,2021-11-19,62.480000,62.970001,61.560001,61.799999,61.799999,19508500
GM,2021-11-22,61.950001,64.959999,61.759998,64.059998,64.059998,19836200
GM,2021-11-23,63.730000,64.040001,62.259998,63.049999,63.049999,16225100
GM,2021-11-24,62.299999,62.599998,61.630001,62.189999,62.189999,12685000
GM,2021-11-26,59.799999,60.570000,59.459999,60.169998,60.169998,13272600
GM,2021-11-29,61.110001,61.540001,59.650002,59.860001,59.860001,15022400