model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
ACURA MDX,3.7,6,Auto-S5,4WD,Gasoline,SUV,7.0,15,20,17,4,no
ACURA RDX,2.3,4,Auto-S5,4WD,Gasoline,SUV,7.0,17,22,19,5,no
ACURA RL,3.5,6,Auto-S5,4WD,Gasoline,midsize car,7.0,16,24,19,5,no
ACURA TL,3.2,6,Auto-S5,2WD,Gasoline,midsize car,7.0,18,26,21,6,yes
ACURA TL,3.5,6,Auto-S5,2WD,Gasoline,midsize car,7.0,17,26,20,6,yes
ACURA TL,3.5,6,Man-6,2WD,Gasoline,midsize car,7.0,18,27,21,6,yes
ACURA TSX,2.4,4,Man-6,2WD,Gasoline,small car,6.0,19,28,22,6,no
ACURA TSX,2.4,4,Auto-S5,2WD,Gasoline,small car,6.0,20,28,23,7,yes
ASTON MARTIN DB9,5.9,12,Man-6,2WD,Gasoline,small car,6.0,10,16,12,0,no
ASTON MARTIN DB9,5.9,12,Auto-S6,2WD,Gasoline,small car,6.0,11,18,13,1,no
ASTON MARTIN DB9 Volante,5.9,12,Man-6,2WD,Gasoline,small car,6.0,10,16,12,0,no
ASTON MARTIN DB9 Volante,5.9,12,Auto-S6,2WD,Gasoline,small car,6.0,11,17,13,1,no
ASTON MARTIN V8 Vantage,4.3,8,Man-6,2WD,Gasoline,small car,6.0,12,19,15,3,no
ASTON MARTIN V8 Vantage,4.3,8,Auto-S6,2WD,Gasoline,small car,6.0,13,20,15,3,no
AUDI A3,2.0,4,Man-6,2WD,Gasoline,station wagon,7.0,21,29,24,7,yes
AUDI A3,2.0,4,Auto-S6,2WD,Gasoline,station wagon,7.0,22,29,25,7,yes
AUDI A3,3.2,6,Auto-S6,4WD,Gasoline,station wagon,6.0,18,25,21,6,no
AUDI A4,2.0,4,Auto-AV,2WD,Gasoline,small car,7.0,21,30,24,7,yes
AUDI A4,3.1,6,Man-6,4WD,Gasoline,small car,6.0,15,25,19,5,no
AUDI A4,3.1,6,Auto-S6,4WD,Gasoline,small car,6.0,17,25,20,6,no
AUDI A4,3.1,6,Auto-AV,2WD,Gasoline,small car,6.0,18,27,21,6,no
AUDI A4 Avant,3.1,6,Man-6,4WD,Gasoline,station wagon,6.0,15,25,19,5,no
AUDI A4 Avant,3.1,6,Auto-S6,4WD,Gasoline,station wagon,6.0,17,25,20,6,no
AUDI A4 Cabriolet,3.1,6,Auto-S6,4WD,Gasoline,small car,6.0,17,25,20,6,no
AUDI A6,3.1,6,Auto-S6,4WD,Gasoline,midsize car,6.0,17,25,20,6,no
AUDI A6,3.1,6,Auto-AV,2WD,Gasoline,midsize car,6.0,18,27,21,6,no
AUDI A6,4.2,8,Auto-S6,4WD,Gasoline,midsize car,6.0,16,23,18,5,no
AUDI A6 Avant,3.1,6,Auto-S6,4WD,Gasoline,station wagon,6.0,17,25,20,6,no
AUDI A8,4.2,8,Auto-S6,4WD,Gasoline,midsize car,6.0,16,23,18,5,no
AUDI A8 L,4.2,8,Auto-S6,4WD,Gasoline,large car,6.0,16,23,18,5,no
AUDI A8 L,6.0,12,Auto-S6,4WD,Gasoline,large car,6.0,13,19,15,3,no
AUDI Q7,3.6,6,Auto-S6,4WD,Gasoline,SUV,6.0,14,20,16,4,no
AUDI Q7,4.2,8,Auto-S6,4WD,Gasoline,SUV,6.0,12,17,14,2,no
AUDI R8,4.2,8,Auto-S6,4WD,Gasoline,small car,6.0,13,19,15,3,no
AUDI R8,4.2,8,Man-6,4WD,Gasoline,small car,6.0,13,20,15,3,no
AUDI RS4,4.2,8,Man-6,4WD,Gasoline,small car,6.0,13,20,15,3,no
AUDI RS4 Cabriolet,4.2,8,Man-6,4WD,Gasoline,small car,6.0,12,19,14,2,no
AUDI S4,4.2,8,Man-6,4WD,Gasoline,small car,6.0,13,20,15,3,no
AUDI S4,4.2,8,Auto-S6,4WD,Gasoline,small car,6.0,14,21,16,4,no
AUDI S4 Avant,4.2,8,Man-6,4WD,Gasoline,station wagon,6.0,13,20,15,3,no
AUDI S4 Avant,4.2,8,Auto-S6,4WD,Gasoline,station wagon,6.0,14,21,16,4,no
AUDI S4 Cabriolet,4.2,8,Man-6,4WD,Gasoline,small car,6.0,13,19,15,3,no
AUDI S4 Cabriolet,4.2,8,Auto-S6,4WD,Gasoline,small car,6.0,14,21,16,4,no
AUDI S5,4.2,8,Man-6,4WD,Gasoline,small car,6.0,14,21,16,4,no
AUDI S6,5.2,10,Auto-S6,4WD,Gasoline,midsize car,6.0,14,19,16,4,no
AUDI S8,5.2,10,Auto-S6,4WD,Gasoline,midsize car,6.0,13,19,15,3,no
AUDI TT Coupe,2.0,4,Auto-S6,2WD,Gasoline,small car,7.0,23,31,26,8,yes
AUDI TT Coupe,3.2,6,Man-6,4WD,Gasoline,small car,6.0,17,24,19,5,no
AUDI TT Coupe,3.2,6,Auto-S6,4WD,Gasoline,small car,6.0,18,24,20,6,no
AUDI TT Roadster,2.0,4,Auto-S6,2WD,Gasoline,small car,7.0,22,29,25,7,yes
AUDI TT Roadster,3.2,6,Man-6,4WD,Gasoline,small car,6.0,17,24,19,5,no
AUDI TT Roadster,3.2,6,Auto-S6,4WD,Gasoline,small car,6.0,18,24,20,6,no
BENTLEY Arnage,6.7,8,Auto-S6,2WD,Gasoline,large car,6.0,9,15,11,0,no
BENTLEY Arnage,6.7,8,Auto-S6,2WD,Gasoline,midsize car,6.0,10,15,11,0,no
BENTLEY Azure,6.7,8,Auto-S6,2WD,Gasoline,small car,6.0,9,15,11,0,no
BENTLEY Continental Flying Spur,6.0,12,Auto-S6,4WD,Gasoline,midsize car,6.0,10,17,12,0,no
BENTLEY Continental GT,6.0,12,Auto-S6,4WD,Gasoline,small car,6.0,10,17,13,1,no
BENTLEY Continental GTC,6.0,12,Auto-S6,4WD,Gasoline,small car,6.0,10,17,12,0,no
BMW 328ci,3.0,6,Man-6,2WD,Gasoline,small car,9.5,20,30,24,7,yes
BMW 328ci,3.0,6,Auto-S6,2WD,Gasoline,small car,9.5,23,31,25,7,yes
BMW 328ci,3.0,6,Man-6,2WD,Gasoline,small car,7.0,20,30,24,7,yes
BMW 328ci,3.0,6,Auto-S6,2WD,Gasoline,small car,7.0,23,31,25,7,yes
BMW 328ci Convertible,3.0,6,Man-6,2WD,Gasoline,small car,9.5,19,29,22,6,yes
BMW 328ci Convertible,3.0,6,Auto-S6,2WD,Gasoline,small car,9.5,20,30,24,7,yes
BMW 328ci Convertible,3.0,6,Man-6,2WD,Gasoline,small car,7.0,19,29,22,6,yes
BMW 328ci Convertible,3.0,6,Auto-S6,2WD,Gasoline,small car,7.0,20,30,24,7,yes
BMW 328cxi,3.0,6,Auto-S6,4WD,Gasoline,small car,9.5,20,27,23,7,yes
BMW 328cxi,3.0,6,Man-6,4WD,Gasoline,small car,7.0,19,28,22,6,yes
BMW 328cxi,3.0,6,Auto-S6,4WD,Gasoline,small car,7.0,20,27,23,7,yes
BMW 328i,3.0,6,Man-6,2WD,Gasoline,small car,9.5,20,30,24,7,yes
BMW 328i,3.0,6,Auto-S6,2WD,Gasoline,small car,9.5,23,31,25,7,yes
BMW 328i,3.0,6,Man-6,2WD,Gasoline,small car,7.0,20,30,24,7,yes
BMW 328i,3.0,6,Auto-S6,2WD,Gasoline,small car,7.0,23,31,25,7,yes
BMW 328i Sport Wagon,3.0,6,Man-6,2WD,Gasoline,station wagon,7.0,19,29,22,6,yes
BMW 328xi,3.0,6,Auto-S6,4WD,Gasoline,small car,9.5,20,27,23,7,yes
BMW 328xi,3.0,6,Man-6,4WD,Gasoline,small car,7.0,19,28,22,6,yes
BMW 328xi,3.0,6,Auto-S6,4WD,Gasoline,small car,7.0,20,27,23,7,yes
BMW 328xi Sport Wagon,3.0,6,Man-6,4WD,Gasoline,station wagon,7.0,19,28,22,6,yes
BMW 328xi Sport Wagon,3.0,6,Auto-S6,4WD,Gasoline,station wagon,7.0,20,27,23,7,yes
BMW 335ci,3.0,6,Man-6,2WD,Gasoline,small car,6.0,19,28,22,6,no
BMW 335ci,3.0,6,Auto-S6,2WD,Gasoline,small car,6.0,20,28,23,7,yes
BMW 335ci Convertible,3.0,6,Man-6,2WD,Gasoline,small car,6.0,19,28,22,6,no
BMW 335ci Convertible,3.0,6,Auto-S6,2WD,Gasoline,small car,6.0,20,28,23,7,yes
BMW 335cxi,3.0,6,Man-6,4WD,Gasoline,small car,6.0,18,27,21,6,no
BMW 335cxi,3.0,6,Auto-S6,4WD,Gasoline,small car,6.0,19,27,22,6,no
BMW 335i,3.0,6,Man-6,2WD,Gasoline,small car,6.0,19,28,22,6,no
BMW 335i,3.0,6,Auto-S6,2WD,Gasoline,small car,6.0,20,28,23,7,yes
BMW 335xi,3.0,6,Man-6,4WD,Gasoline,small car,6.0,18,27,21,6,no
BMW 335xi,3.0,6,Auto-S6,4WD,Gasoline,small car,6.0,19,27,22,6,no
BMW 528i,3.0,6,Auto-S6,2WD,Gasoline,midsize car,7.0,20,30,24,7,yes
BMW 528i,3.0,6,Man-6,2WD,Gasoline,midsize car,7.0,20,30,24,7,yes
BMW 528xi,3.0,6,Man-6,4WD,Gasoline,midsize car,7.0,19,28,22,6,yes
BMW 528xi,3.0,6,Auto-S6,4WD,Gasoline,midsize car,7.0,20,27,23,7,yes
BMW 535i,3.0,6,Man-6,2WD,Gasoline,midsize car,6.0,19,28,22,6,no
BMW 535i,3.0,6,Auto-S6,2WD,Gasoline,midsize car,6.0,20,28,23,7,yes
BMW 535xi,3.0,6,Man-6,4WD,Gasoline,midsize car,6.0,18,27,21,6,no
BMW 535xi,3.0,6,Auto-S6,4WD,Gasoline,midsize car,6.0,19,27,22,6,no
BMW 535xi Sport Wagon,3.0,6,Man-6,4WD,Gasoline,station wagon,6.0,17,25,20,6,no
BMW 535xi Sport Wagon,3.0,6,Auto-S6,4WD,Gasoline,station wagon,6.0,18,26,21,6,no
BMW 550i,4.8,8,Man-6,2WD,Gasoline,midsize car,7.0,17,24,19,5,no
BMW 550i,4.8,8,Auto-S6,2WD,Gasoline,midsize car,7.0,17,25,20,6,yes
BMW 650ci,4.8,8,Man-6,2WD,Gasoline,small car,7.0,17,24,19,5,no
BMW 650ci,4.8,8,Auto-S6,2WD,Gasoline,small car,7.0,17,25,20,6,yes
BMW 650ci Convertible,4.8,8,Man-6,2WD,Gasoline,small car,7.0,16,22,18,5,no
BMW 650ci Convertible,4.8,8,Auto-S6,2WD,Gasoline,small car,7.0,17,25,20,6,yes
BMW 750i,4.8,8,Auto-S6,2WD,Gasoline,large car,7.0,17,25,20,6,yes
BMW 750li,4.8,8,Auto-S6,2WD,Gasoline,large car,7.0,17,25,20,6,yes
BMW 760li,6.0,12,Auto-S6,2WD,Gasoline,large car,6.0,14,22,17,4,no
BMW Alpina B7,4.4,8,Auto-S6,2WD,Gasoline,large car,6.0,15,23,18,5,no
BMW M5,5.0,10,Man-6,2WD,Gasoline,midsize car,6.0,12,18,14,2,no
BMW M5,5.0,10,Auto-S7,2WD,Gasoline,midsize car,6.0,12,18,14,2,no
BMW M6,5.0,10,Man-6,2WD,Gasoline,small car,6.0,12,18,14,2,no
BMW M6,5.0,10,Auto-S7,2WD,Gasoline,small car,6.0,12,18,14,2,no
BMW M6 Convertible,5.0,10,Man-6,2WD,Gasoline,small car,6.0,12,18,14,2,no
BMW M6 Convertible,5.0,10,Auto-S7,2WD,Gasoline,small car,6.0,12,19,14,2,no
BMW X3,3.0,6,Man-6,4WD,Gasoline,SUV,7.0,18,26,21,6,yes
BMW X3,3.0,6,Auto-S6,4WD,Gasoline,SUV,7.0,19,26,22,6,yes
BMW X5,3.0,6,Auto-S6,4WD,Gasoline,SUV,7.0,17,23,19,5,no
BMW X5,4.8,8,Auto-S6,4WD,Gasoline,SUV,7.0,15,21,17,4,no
BMW Z4,3.0,6,Man-6,2WD,Gasoline,small car,7.0,20,30,24,7,yes
BMW Z4,3.0,6,Auto-S6,2WD,Gasoline,small car,7.0,23,31,25,7,yes
BMW Z4 Coupe,3.0,6,Man-6,2WD,Gasoline,small car,7.0,20,30,24,7,yes
BMW Z4 Coupe,3.0,6,Auto-S6,2WD,Gasoline,small car,7.0,23,31,25,7,yes
BUGATTI Veyron,8.0,16,Auto-S6,4WD,Gasoline,small car,6.0,8,14,10,0,no
BUICK Allure,3.8,6,Auto-L4,2WD,Gasoline,midsize car,9.5,17,28,21,6,yes
BUICK Allure,3.6,6,Auto-L4,2WD,Gasoline,midsize car,6.0,17,25,20,6,no
BUICK Allure,5.3,8,Auto-L4,2WD,Gasoline,midsize car,6.0,16,25,19,5,no
BUICK Enclave,3.6,6,Auto-L6,2WD,Gasoline,SUV,6.0,16,24,19,5,no
BUICK Enclave,3.6,6,Auto-L6,4WD,Gasoline,SUV,6.0,16,22,18,5,no
BUICK LaCrosse,3.8,6,Auto-L4,2WD,Gasoline,midsize car,9.5,17,28,21,6,yes
BUICK LaCrosse,3.6,6,Auto-L4,2WD,Gasoline,midsize car,6.0,17,25,20,6,no
BUICK LaCrosse,5.3,8,Auto-L4,2WD,Gasoline,midsize car,6.0,16,25,19,5,no
BUICK Lucerne,3.8,6,Auto-L4,2WD,Gasoline,large car,9.5,16,25,19,5,no
BUICK Terraza,3.9,6,Auto-L4,2WD,Gasoline,minivan,6.0,16,23,19,5,no
CADILLAC CTS,3.6,6,Man-6,2WD,Gasoline,midsize car,6.0,16,25,19,5,no
CADILLAC CTS,3.6,6,Auto-S6,4WD,Gasoline,midsize car,6.0,17,25,20,6,no
CADILLAC CTS,3.6,6,Auto-S6,4WD,Gasoline,midsize car,6.0,17,26,20,6,no
CADILLAC CTS,3.6,6,Auto-S6,2WD,Gasoline,midsize car,6.0,17,26,20,6,no
CADILLAC CTS,3.6,6,Auto-S6,2WD,Gasoline,midsize car,6.0,18,26,21,6,no
CADILLAC Escalade,6.2,8,Auto-L6,2WD,Gasoline,SUV,6.0,12,19,14,2,no
CADILLAC Escalade,6.2,8,Auto-L6,4WD,Gasoline,SUV,6.0,12,18,14,2,no
CADILLAC SRX,3.6,6,Auto-S5,2WD,Gasoline,SUV,6.0,15,22,17,4,no
CADILLAC SRX,3.6,6,Auto-S5,4WD,Gasoline,SUV,6.0,14,22,17,4,no
CADILLAC SRX,4.6,8,Auto-S6,2WD,Gasoline,SUV,6.0,13,20,16,4,no
CADILLAC SRX,4.6,8,Auto-S6,4WD,Gasoline,SUV,6.0,13,20,15,3,no
CADILLAC STS,3.6,6,Auto-S6,4WD,Gasoline,midsize car,6.0,17,26,20,6,no
CADILLAC STS,3.6,6,Auto-S6,2WD,Gasoline,midsize car,6.0,17,26,20,6,no
CADILLAC STS,4.4,8,Auto-S6,2WD,Gasoline,midsize car,6.0,13,19,15,3,no
CADILLAC STS,4.6,8,Auto-S6,4WD,Gasoline,midsize car,6.0,14,21,16,4,no
CADILLAC STS,4.6,8,Auto-S6,2WD,Gasoline,midsize car,6.0,15,24,18,5,no
CADILLAC XLR,4.4,8,Auto-S6,2WD,Gasoline,small car,6.0,14,21,16,4,no
CADILLAC XLR,4.6,8,Auto-S6,2WD,Gasoline,small car,6.0,15,24,18,5,no
CHEVROLET Classic,3.5,6,Auto-L4,2WD,Gasoline,midsize car,7.0,18,28,22,6,yes
CHEVROLET Classic,2.2,4,Auto-L4,2WD,Gasoline,midsize car,6.0,21,31,25,7,yes
CHEVROLET Cobalt,2.2,4,Auto-L4,2WD,Gasoline,small car,9.5,22,31,26,8,yes
CHEVROLET Cobalt,2.2,4,Man-5,2WD,Gasoline,small car,9.5,24,33,27,8,yes
CHEVROLET Cobalt,2.2,4,Auto-L4,2WD,Gasoline,small car,6.0,22,31,26,8,yes
CHEVROLET Cobalt,2.2,4,Man-5,2WD,Gasoline,small car,6.0,24,33,27,8,yes
CHEVROLET Cobalt,2.4,4,Auto-L4,2WD,Gasoline,small car,6.0,22,31,25,7,yes
CHEVROLET Cobalt,2.4,4,Man-5,2WD,Gasoline,small car,6.0,22,32,26,8,yes
CHEVROLET Corvette,7.0,8,Man-6,2WD,Gasoline,small car,6.0,15,24,18,5,no
CHEVROLET Equinox,3.4,6,Auto-L5,2WD,Gasoline,SUV,7.0,17,24,19,5,no
CHEVROLET Equinox,3.4,6,Auto-L5,4WD,Gasoline,SUV,7.0,17,24,19,5,no
CHEVROLET Equinox,3.6,6,Auto-S6,2WD,Gasoline,SUV,6.0,16,24,19,5,no
CHEVROLET Equinox,3.6,6,Auto-S6,4WD,Gasoline,SUV,6.0,16,24,19,5,no
CHEVROLET Express 1500,5.3,8,Auto-L4,4WD,Gasoline,van,6.0,12,16,14,2,no
CHEVROLET Express 1500,5.3,8,Auto-L4,2WD,Gasoline,van,6.0,12,16,14,2,no
CHEVROLET Express 2500,5.3,8,Auto-L4,2WD,Gasoline,van,6.0,12,16,14,2,no
CHEVROLET HHR,2.2,4,Man-5,2WD,Gasoline,SUV,7.0,20,30,24,7,yes
CHEVROLET HHR,2.2,4,Man-5,2WD,Gasoline,SUV,7.0,21,30,24,7,yes
CHEVROLET HHR,2.2,4,Auto-L4,2WD,Gasoline,SUV,7.0,22,30,25,7,yes
CHEVROLET HHR,2.4,4,Man-5,2WD,Gasoline,SUV,7.0,20,28,23,7,yes
CHEVROLET HHR,2.4,4,Man-5,2WD,Gasoline,SUV,7.0,20,29,23,7,yes
CHEVROLET HHR,2.4,4,Auto-L4,2WD,Gasoline,SUV,7.0,22,28,24,7,yes
CHEVROLET HHR,2.0,4,Auto-L4,2WD,Gasoline,SUV,6.0,19,28,22,6,no
CHEVROLET Impala,3.5,6,Auto-L4,2WD,Gasoline,large car,9.5,18,29,22,6,yes
CHEVROLET Impala,5.3,8,Auto-L4,2WD,Gasoline,large car,6.0,16,25,19,5,no
CHEVROLET Malibu,3.5,6,Auto-L4,2WD,Gasoline,midsize car,7.0,18,29,22,6,yes
CHEVROLET Malibu,2.4,4,Auto-L4,2WD,Gasoline,midsize car,6.0,22,30,25,7,yes
CHEVROLET Malibu,3.6,6,Auto-S6,2WD,Gasoline,midsize car,6.0,17,26,20,6,no
CHEVROLET Malibu Hybrid,2.4,4,Auto-L4,2WD,Gasoline,midsize car,6.0,24,32,27,8,yes
CHEVROLET Silverado 15,4.3,6,Auto-L4,2WD,Gasoline,pickup,6.0,15,20,17,4,no
CHEVROLET Silverado 15,4.3,6,Auto-L4,4WD,Gasoline,pickup,6.0,14,18,15,3,no
CHEVROLET Tahoe 1500,6.2,8,Auto-L6,2WD,Gasoline,SUV,6.0,12,19,14,2,no
CHEVROLET Tahoe 1500 Hybrid,6.0,8,Auto-AV,2WD,Gasoline,SUV,6.0,21,22,21,6,no
CHEVROLET Tahoe 1500 Hybrid,6.0,8,Auto-AV,4WD,Gasoline,SUV,6.0,20,20,20,6,no
CHEVROLET Trailblazer,5.3,8,Auto-L4,2WD,Gasoline,SUV,6.0,14,20,17,4,no
CHEVROLET Trailblazer,5.3,8,Auto-L4,4WD,Gasoline,SUV,6.0,13,19,16,4,no
CHEVROLET Trailblazer,6.0,8,Auto-L4,2WD,Gasoline,SUV,6.0,12,16,14,2,no
CHEVROLET Trailblazer,6.0,8,Auto-L4,4WD,Gasoline,SUV,6.0,12,16,13,1,no
CHEVROLET Uplander,3.9,6,Auto-L4,2WD,Gasoline,minivan,6.0,16,23,19,5,no
CHEVROLET Van 1500,4.3,6,Auto-L4,2WD,Gasoline,van,6.0,15,20,17,4,no
CHEVROLET Van 1500,5.3,8,Auto-L4,4WD,Gasoline,van,6.0,12,16,14,2,no
CHEVROLET Van 1500,5.3,8,Auto-L4,2WD,Gasoline,van,6.0,12,16,14,2,no
CHEVROLET Van 1500,5.3,8,Auto-L4,4WD,Gasoline,van,6.0,13,17,15,3,no
CHEVROLET Van 1500,5.3,8,Auto-L4,2WD,Gasoline,van,6.0,14,18,15,3,no
CHEVROLET Van 2500,4.3,6,Auto-L4,2WD,Gasoline,van,6.0,15,20,17,4,no
CHEVROLET Van 2500,5.3,8,Auto-L4,2WD,Gasoline,van,6.0,12,16,14,2,no
CHEVROLET Van 2500,5.3,8,Auto-L4,4WD,Gasoline,van,6.0,13,17,15,3,no
CHEVROLET Van 2500,5.3,8,Auto-L4,2WD,Gasoline,van,6.0,14,18,15,3,no
CHRYSLER 300,3.5,6,Auto-L5,4WD,Gasoline,large car,7.0,15,22,18,5,no
CHRYSLER 300,3.5,6,Auto-L5,2WD,Gasoline,large car,7.0,17,24,20,6,yes
CHRYSLER 300,3.5,6,Auto-L4,2WD,Gasoline,large car,7.0,17,24,20,6,yes
CHRYSLER 300,2.7,6,Auto-L4,2WD,Gasoline,large car,6.0,18,26,21,6,no
CHRYSLER 300,6.1,8,Auto-L5,2WD,Gasoline,large car,6.0,13,18,15,3,no
CHRYSLER Aspen,4.7,8,Auto-L5,2WD,Gasoline,SUV,7.0,14,19,15,3,no
CHRYSLER Aspen,5.7,8,Auto-L5,2WD,Gasoline,SUV,6.0,13,19,15,3,no
CHRYSLER Aspen,5.7,8,Auto-L5,4WD,Gasoline,SUV,6.0,13,18,15,3,no
CHRYSLER Crossfire,3.2,6,Man-6,2WD,Gasoline,small car,6.0,15,23,18,5,no
CHRYSLER Crossfire,3.2,6,Auto-L5,2WD,Gasoline,small car,6.0,19,25,21,6,no
CHRYSLER PT Cruiser,2.4,4,Auto-L4,2WD,Gasoline,SUV,7.0,18,24,21,6,yes
CHRYSLER PT Cruiser,2.4,4,Auto-L4,2WD,Gasoline,SUV,7.0,19,24,21,6,yes
CHRYSLER PT Cruiser,2.4,4,Man-5,2WD,Gasoline,SUV,7.0,20,25,22,6,yes
CHRYSLER PT Cruiser,2.4,4,Auto-L4,2WD,Gasoline,SUV,6.0,18,24,21,6,no
CHRYSLER PT Cruiser,2.4,4,Auto-L4,2WD,Gasoline,SUV,6.0,19,24,21,6,no
CHRYSLER PT Cruiser,2.4,4,Man-5,2WD,Gasoline,SUV,6.0,20,25,22,6,no
CHRYSLER PT Cruiser,2.4,4,Man-5,2WD,Gasoline,SUV,6.0,21,26,23,7,yes
CHRYSLER PT Cruiser Convertible,2.4,4,Auto-L4,2WD,Gasoline,small car,7.0,18,24,21,6,yes
CHRYSLER PT Cruiser Convertible,2.4,4,Auto-L4,2WD,Gasoline,small car,7.0,19,24,21,6,yes
CHRYSLER PT Cruiser Convertible,2.4,4,Man-5,2WD,Gasoline,small car,7.0,20,25,22,6,yes
CHRYSLER PT Cruiser Convertible,2.4,4,Auto-L4,2WD,Gasoline,small car,6.0,18,24,21,6,no
CHRYSLER PT Cruiser Convertible,2.4,4,Auto-L4,2WD,Gasoline,small car,6.0,19,24,21,6,no
CHRYSLER PT Cruiser Convertible,2.4,4,Man-5,2WD,Gasoline,small car,6.0,20,25,22,6,no
CHRYSLER PT Cruiser Convertible,2.4,4,Man-5,2WD,Gasoline,small car,6.0,21,26,23,7,yes
CHRYSLER Pacifica,3.8,6,Auto-L4,2WD,Gasoline,SUV,7.0,15,22,18,5,no
CHRYSLER Pacifica,4.0,6,Auto-L6,2WD,Gasoline,SUV,7.0,15,23,17,4,no
CHRYSLER Pacifica,4.0,6,Auto-L6,4WD,Gasoline,SUV,7.0,14,22,17,4,no
CHRYSLER SRT-8,3.5,6,Auto-L5,2WD,Gasoline,large car,7.0,17,24,20,6,yes
CHRYSLER SRT-8,3.5,6,Auto-L4,2WD,Gasoline,large car,7.0,17,24,20,6,yes
CHRYSLER SRT-8,2.7,6,Auto-L4,2WD,Gasoline,large car,6.0,18,26,21,6,no
CHRYSLER SRT-8,6.1,8,Auto-L5,2WD,Gasoline,large car,6.0,13,18,15,3,no
CHRYSLER Sebring,2.4,4,Auto-L4,2WD,Gasoline,midsize car,7.0,21,30,24,7,yes
CHRYSLER Sebring,3.5,6,Auto-L6,4WD,Gasoline,midsize car,7.0,15,24,18,5,no
CHRYSLER Sebring,3.5,6,Auto-L6,2WD,Gasoline,midsize car,7.0,16,26,19,5,no
CHRYSLER Sebring,2.4,4,Auto-L4,2WD,Gasoline,midsize car,6.0,21,30,24,7,yes
CHRYSLER Sebring,2.7,6,Auto-L4,2WD,Gasoline,midsize car,6.0,19,27,22,6,no
CHRYSLER Sebring Convertible,2.4,4,Auto-L4,2WD,Gasoline,small car,7.0,20,29,23,7,yes
CHRYSLER Sebring Convertible,3.5,6,Auto-L6,2WD,Gasoline,small car,7.0,16,26,19,5,no
CHRYSLER Sebring Convertible,2.4,4,Auto-L4,2WD,Gasoline,small car,6.0,20,29,23,7,yes
CHRYSLER Sebring Convertible,2.7,6,Auto-L4,2WD,Gasoline,small car,6.0,18,26,21,6,no
CHRYSLER Town & Country,3.3,6,Auto-L4,2WD,Gasoline,minivan,7.0,17,24,19,5,no
CHRYSLER Town & Country,3.8,6,Auto-L6,2WD,Gasoline,minivan,7.0,16,23,18,5,no
CHRYSLER Town & Country,4.0,6,Auto-L6,2WD,Gasoline,minivan,7.0,16,23,18,5,no
