model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
DODGE Avenger,2.4,4,Auto-L4,2WD,Gasoline,midsize car,7.0,21,30,24,7,yes
DODGE Avenger,3.5,6,Auto-L6,4WD,Gasoline,midsize car,7.0,15,24,18,5,no
DODGE Avenger,3.5,6,Auto-L6,2WD,Gasoline,midsize car,7.0,16,26,19,5,no
DODGE Avenger,2.4,4,Auto-L4,2WD,Gasoline,midsize car,6.0,21,30,24,7,yes
DODGE Avenger,2.7,6,Auto-L4,2WD,Gasoline,midsize car,6.0,19,27,22,6,no
DODGE Caliber,2.4,4,Auto-AV,4WD,Gasoline,midsize car,7.0,21,24,22,6,yes
DODGE Caliber,2.4,4,Auto-AV,2WD,Gasoline,midsize car,7.0,21,25,23,7,yes
DODGE Caliber,2.0,4,Auto-AV,2WD,Gasoline,midsize car,6.0,23,27,24,7,yes
DODGE Caliber,2.4,4,Auto-AV,2WD,Gasoline,midsize car,6.0,21,25,23,7,yes
DODGE Caravan,3.3,6,Auto-L4,2WD,Gasoline,minivan,7.0,17,24,19,5,no
DODGE Caravan,3.8,6,Auto-L6,2WD,Gasoline,minivan,7.0,16,23,18,5,no
DODGE Caravan,4.0,6,Auto-L6,2WD,Gasoline,minivan,7.0,16,23,18,5,no
DODGE Challenger,6.1,8,Auto-L5,2WD,Gasoline,midsize car,6.0,13,18,15,3,no
DODGE Charger,3.5,6,Auto-L5,4WD,Gasoline,large car,7.0,15,22,18,5,no
DODGE Charger,3.5,6,Auto-L5,2WD,Gasoline,large car,7.0,17,24,20,6,yes
DODGE Charger,3.5,6,Auto-L4,2WD,Gasoline,large car,7.0,17,24,20,6,yes
DODGE Charger,2.7,6,Auto-L4,2WD,Gasoline,large car,6.0,18,26,21,6,no
DODGE Charger,6.1,8,Auto-L5,2WD,Gasoline,large car,6.0,13,18,15,3,no
DODGE Dakota,3.7,6,Auto-L4,2WD,Gasoline,pickup,7.0,15,20,17,4,no
DODGE Dakota,3.7,6,Auto-L4,4WD,Gasoline,pickup,7.0,14,18,15,3,no
DODGE Dakota,4.7,8,Auto-L5,2WD,Gasoline,pickup,7.0,14,19,15,3,no
DODGE Dakota,4.7,8,Auto-L5,4WD,Gasoline,pickup,7.0,14,19,15,3,no
DODGE Dakota,3.7,6,Auto-L4,2WD,Gasoline,pickup,6.0,15,20,17,4,no
DODGE Dakota,3.7,6,Man-6,2WD,Gasoline,pickup,6.0,16,20,18,5,no
DODGE Dakota,3.7,6,Auto-L4,4WD,Gasoline,pickup,6.0,14,18,15,3,no
DODGE Dakota,3.7,6,Man-6,4WD,Gasoline,pickup,6.0,15,19,16,4,no
DODGE Durango,3.7,6,Auto-L4,2WD,Gasoline,SUV,7.0,14,19,16,4,no
DODGE Durango,4.7,8,Auto-L5,2WD,Gasoline,SUV,7.0,14,19,15,3,no
DODGE Durango,4.7,8,Auto-L5,4WD,Gasoline,SUV,7.0,13,17,15,3,no
DODGE Durango,5.7,8,Auto-L5,2WD,Gasoline,SUV,6.0,13,19,15,3,no
DODGE Durango,5.7,8,Auto-L5,4WD,Gasoline,SUV,6.0,13,18,15,3,no
DODGE Magnum,3.5,6,Auto-L5,2WD,Gasoline,SUV,7.0,17,24,20,6,yes
DODGE Magnum,3.5,6,Auto-L4,2WD,Gasoline,SUV,7.0,17,24,20,6,yes
DODGE Magnum,3.5,6,Auto-L5,4WD,Gasoline,SUV,7.0,15,22,18,5,no
DODGE Magnum,2.7,6,Auto-L4,2WD,Gasoline,SUV,6.0,18,26,21,6,no
DODGE Magnum,6.1,8,Auto-L5,2WD,Gasoline,SUV,6.0,13,18,15,3,no
DODGE Nitro,3.7,6,Auto-L4,2WD,Gasoline,SUV,7.0,16,22,18,5,no
DODGE Nitro,3.7,6,Auto-L4,4WD,Gasoline,SUV,7.0,15,21,17,4,no
DODGE Nitro,3.7,6,Auto-L4,2WD,Gasoline,SUV,6.0,16,22,18,5,no
DODGE Nitro,3.7,6,Man-6,2WD,Gasoline,SUV,6.0,16,22,19,5,no
DODGE Nitro,3.7,6,Auto-L4,4WD,Gasoline,SUV,6.0,15,21,17,4,no
DODGE Nitro,3.7,6,Man-6,4WD,Gasoline,SUV,6.0,16,22,18,5,no
DODGE Nitro,4.0,6,Auto-L5,2WD,Gasoline,SUV,6.0,16,21,18,5,no
DODGE RAM 1500,3.7,6,Auto-L4,2WD,Gasoline,pickup,7.0,14,19,16,4,no
DODGE RAM 1500,4.7,8,Auto-L5,2WD,Gasoline,pickup,7.0,13,18,15,3,no
DODGE RAM 1500,4.7,8,Auto-L5,4WD,Gasoline,pickup,7.0,13,17,15,3,no
DODGE RAM 1500,3.7,6,Auto-L4,2WD,Gasoline,pickup,6.0,14,19,16,4,no
DODGE RAM 1500,3.7,6,Man-6,2WD,Gasoline,pickup,6.0,16,19,17,4,no
DODGE RAM 1500,4.7,8,Man-6,2WD,Gasoline,pickup,6.0,13,17,14,2,no
DODGE RAM 1500,4.7,8,Man-6,4WD,Gasoline,pickup,6.0,12,16,14,2,no
DODGE RAM 1500,5.7,8,Auto-L5,2WD,Gasoline,pickup,6.0,13,19,15,3,no
DODGE RAM 1500,5.7,8,Auto-L5,4WD,Gasoline,pickup,6.0,13,17,14,2,no
DODGE Viper,8.4,10,Man-6,2WD,Gasoline,small car,6.0,13,22,16,4,no
DODGE Viper Convertible,8.4,10,Man-6,2WD,Gasoline,small car,6.0,13,22,16,4,no
FERRARI 599 GTB Fiorano,5.9,12,Auto-6,2WD,Gasoline,small car,6.0,11,15,12,0,no
FERRARI 599 GTB Fiorano,5.9,12,Man-6,2WD,Gasoline,small car,6.0,11,15,12,0,no
FERRARI 612 Scaglietti,5.7,12,Auto-6,2WD,Gasoline,midsize car,6.0,9,16,11,0,no
FERRARI 612 Scaglietti,5.7,12,Man-6,2WD,Gasoline,midsize car,6.0,10,15,12,0,no
FORD Edge,3.5,6,Auto-L6,2WD,Gasoline,SUV,7.0,16,24,19,5,no
FORD Edge,3.5,6,Auto-L6,4WD,Gasoline,SUV,7.0,15,22,18,5,no
FORD Escape,2.3,4,Man-5,2WD,Gasoline,SUV,7.0,22,28,24,7,yes
FORD Escape,2.3,4,Auto-L4,2WD,Gasoline,SUV,6.0,20,26,22,6,no
FORD Escape,2.3,4,Auto-L4,4WD,Gasoline,SUV,6.0,19,24,21,6,no
FORD Escape,3.0,6,Auto-L4,2WD,Gasoline,SUV,6.0,18,24,20,6,no
FORD Escape,3.0,6,Auto-L4,4WD,Gasoline,SUV,6.0,17,22,19,5,no
FORD Escape Hybrid,2.3,4,Auto-AV,2WD,Gasoline,SUV,9.5,34,30,32,9,yes
FORD Escape Hybrid,2.3,4,Auto-AV,4WD,Gasoline,SUV,9.5,29,27,28,8,yes
FORD Expedition,5.4,8,Auto-L6,2WD,Gasoline,SUV,7.0,12,18,14,2,no
FORD Explorer,4.0,6,Auto-L5,2WD,Gasoline,SUV,7.0,14,20,16,4,no
FORD Explorer,4.0,6,Auto-L5,4WD,Gasoline,SUV,7.0,13,19,15,3,no
FORD Explorer,4.6,8,Auto-L6,2WD,Gasoline,SUV,7.0,13,20,16,4,no
FORD Explorer,4.6,8,Auto-L6,4WD,Gasoline,SUV,7.0,13,19,15,3,no
FORD Explorer Sport Trac,4.0,6,Auto-L5,2WD,Gasoline,pickup,7.0,14,20,16,4,no
FORD Explorer Sport Trac,4.0,6,Auto-L5,4WD,Gasoline,pickup,7.0,13,19,15,3,no
FORD Explorer Sport Trac,4.6,8,Auto-L6,2WD,Gasoline,pickup,7.0,13,20,16,4,no
FORD Explorer Sport Trac,4.6,8,Auto-L6,4WD,Gasoline,pickup,7.0,13,19,15,3,no
FORD F150,5.4,8,Auto-L4,2WD,Gasoline,pickup,7.0,13,17,14,2,no
FORD F150,5.4,8,Auto-L4,4WD,Gasoline,pickup,7.0,13,17,14,2,no
FORD F150,4.2,6,Auto-L4,2WD,Gasoline,pickup,6.0,14,19,16,4,no
FORD F150,4.2,6,Man-5,2WD,Gasoline,pickup,6.0,14,20,16,4,no
FORD F150,4.6,8,Auto-L4,2WD,Gasoline,pickup,6.0,14,19,16,4,no
FORD F150,4.6,8,Auto-L4,4WD,Gasoline,pickup,6.0,13,17,14,2,no
FORD F150 STX SE,5.4,8,Auto-L4,2WD,Gasoline,pickup,7.0,14,19,15,3,no
FORD Focus,2.0,4,Auto-L4,2WD,Gasoline,small car,9.5,24,33,28,8,yes
FORD Focus,2.0,4,Man-5,2WD,Gasoline,small car,9.5,24,35,28,8,yes
FORD Fusion,2.3,4,Auto-L5,2WD,Gasoline,midsize car,9.5,20,28,23,7,yes
FORD Fusion,3.0,6,Auto-L6,4WD,Gasoline,midsize car,7.0,17,25,20,6,yes
FORD Fusion,3.0,6,Auto-L6,2WD,Gasoline,midsize car,7.0,18,26,21,6,yes
FORD Mustang,4.0,6,Auto-L5,2WD,Gasoline,small car,7.0,16,24,19,5,no
FORD Mustang,4.0,6,Man-5,2WD,Gasoline,small car,7.0,17,26,20,6,yes
FORD Mustang,4.6,8,Auto-L5,2WD,Gasoline,small car,7.0,15,22,18,5,no
FORD Mustang,4.6,8,Man-5,2WD,Gasoline,small car,7.0,15,23,18,5,no
FORD Mustang,4.6,8,Auto-L5,2WD,Gasoline,small car,6.0,15,22,18,5,no
FORD Mustang,4.6,8,Man-5,2WD,Gasoline,small car,6.0,15,23,18,5,no
FORD Mustang,5.4,8,Man-6,2WD,Gasoline,small car,6.0,14,20,16,4,no
FORD Ranger,2.3,4,Auto-L5,2WD,Gasoline,pickup,7.0,19,24,21,6,yes
FORD Ranger,2.3,4,Man-5,2WD,Gasoline,pickup,7.0,21,26,23,7,yes
FORD Ranger,3.0,6,Auto-L5,2WD,Gasoline,pickup,7.0,15,20,17,4,no
FORD Ranger,3.0,6,Man-5,2WD,Gasoline,pickup,7.0,16,22,18,5,no
FORD Ranger,3.0,6,Auto-L5,4WD,Gasoline,pickup,7.0,14,19,16,4,no
FORD Ranger,3.0,6,Man-5,4WD,Gasoline,pickup,7.0,15,20,17,4,no
FORD Ranger,4.0,6,Man-5,2WD,Gasoline,pickup,6.0,15,20,17,4,no
FORD Ranger,4.0,6,Auto-L5,2WD,Gasoline,pickup,6.0,15,20,17,4,no
FORD Ranger,4.0,6,Auto-L5,4WD,Gasoline,pickup,6.0,14,17,15,3,no
FORD Ranger,4.0,6,Man-5,4WD,Gasoline,pickup,6.0,15,19,16,4,no
FORD Taurus,3.5,6,Auto-L6,4WD,Gasoline,large car,9.5,17,24,19,5,no
FORD Taurus,3.5,6,Auto-L6,2WD,Gasoline,large car,9.5,18,28,22,6,yes
FORD Taurus X,3.5,6,Auto-L6,2WD,Gasoline,SUV,9.5,16,24,19,5,no
FORD Taurus X,3.5,6,Auto-L6,4WD,Gasoline,SUV,9.5,15,22,18,5,no
GMC Acadia,3.6,6,Auto-L6,2WD,Gasoline,SUV,6.0,16,24,19,5,no
GMC Acadia,3.6,6,Auto-L6,4WD,Gasoline,SUV,6.0,16,22,18,5,no
GMC Envoy,5.3,8,Auto-L4,2WD,Gasoline,SUV,6.0,14,20,17,4,no
GMC Envoy,5.3,8,Auto-L4,4WD,Gasoline,SUV,6.0,13,19,16,4,no
GMC Savana 1500,4.3,6,Auto-L4,2WD,Gasoline,van,6.0,15,20,17,4,no
GMC Savana 1500,5.3,8,Auto-L4,4WD,Gasoline,van,6.0,12,16,14,2,no
GMC Savana 1500,5.3,8,Auto-L4,2WD,Gasoline,van,6.0,12,16,14,2,no
GMC Savana 1500,5.3,8,Auto-L4,4WD,Gasoline,van,6.0,13,17,15,3,no
GMC Savana 1500,5.3,8,Auto-L4,2WD,Gasoline,van,6.0,14,18,15,3,no
GMC Savana 2500,4.3,6,Auto-L4,2WD,Gasoline,van,6.0,15,20,17,4,no
GMC Savana 2500,5.3,8,Auto-L4,2WD,Gasoline,van,6.0,12,16,14,2,no
GMC Savana 2500,5.3,8,Auto-L4,4WD,Gasoline,van,6.0,13,17,15,3,no
GMC Savana 2500,5.3,8,Auto-L4,2WD,Gasoline,van,6.0,14,18,15,3,no
GMC Sierra 15,4.3,6,Auto-L4,2WD,Gasoline,pickup,6.0,15,20,17,4,no
GMC Sierra 15,4.3,6,Auto-L4,4WD,Gasoline,pickup,6.0,14,18,15,3,no
GMC Sierra 15,6.0,8,Auto-L4,2WD,Gasoline,pickup,6.0,13,18,15,3,no
GMC Sierra 15,6.2,8,Auto-L6,2WD,Gasoline,pickup,6.0,12,19,15,3,no
GMC Sierra 15,6.2,8,Auto-L6,4WD,Gasoline,pickup,6.0,12,18,14,2,no
GMC Yukon 1500,6.0,8,Auto-L4,2WD,Gasoline,SUV,6.0,12,17,14,2,no
GMC Yukon 1500,6.2,8,Auto-L6,2WD,Gasoline,SUV,6.0,12,19,14,2,no
GMC Yukon 1500,6.2,8,Auto-L6,4WD,Gasoline,SUV,6.0,12,18,14,2,no
GMC Yukon 1500 Hybrid,6.0,8,Auto-AV,2WD,Gasoline,SUV,6.0,21,22,21,6,no
GMC Yukon 1500 Hybrid,6.0,8,Auto-AV,4WD,Gasoline,SUV,6.0,20,20,20,6,no
HONDA Accord,2.4,4,Auto-L5,2WD,Gasoline,large car,9.5,21,31,24,7,yes
HONDA Accord,2.4,4,Auto-L5,2WD,Gasoline,small car,9.5,21,30,24,7,yes
HONDA Accord,3.5,6,Auto-L5,2WD,Gasoline,large car,9.5,19,29,22,6,yes
HONDA Accord,3.5,6,Auto-L5,2WD,Gasoline,small car,9.5,19,28,22,6,yes
HONDA Accord,2.4,4,Auto-L5,2WD,Gasoline,large car,7.0,21,31,24,7,yes
HONDA Accord,2.4,4,Man-5,2WD,Gasoline,large car,7.0,22,31,25,7,yes
HONDA Accord,2.4,4,Auto-L5,2WD,Gasoline,small car,7.0,21,30,24,7,yes
HONDA Accord,2.4,4,Man-5,2WD,Gasoline,small car,7.0,22,31,25,7,yes
HONDA Accord,3.5,6,Auto-L5,2WD,Gasoline,large car,7.0,19,29,22,6,yes
HONDA Accord,3.5,6,Man-6,2WD,Gasoline,small car,7.0,17,25,20,6,yes
HONDA Accord,3.5,6,Auto-L5,2WD,Gasoline,small car,7.0,19,28,22,6,yes
HONDA CR-V,2.4,4,Auto-L5,2WD,Gasoline,SUV,7.0,20,27,23,7,yes
HONDA CR-V,2.4,4,Auto-L5,4WD,Gasoline,SUV,7.0,20,26,22,6,yes
HONDA Civic,1.8,4,Auto-L5,2WD,CNG,small car,9.5,24,36,28,9,yes
HONDA Civic,1.8,4,Auto-L5,2WD,Gasoline,small car,7.0,25,36,29,8,yes
HONDA Civic,1.8,4,Man-5,2WD,Gasoline,small car,7.0,26,34,29,8,yes
HONDA Civic,2.0,4,Man-6,2WD,Gasoline,small car,6.0,21,29,24,7,yes
HONDA Civic Hybrid,1.3,4,Auto-AV,2WD,Gasoline,small car,9.5,40,45,42,10,yes
HONDA Element,2.4,4,Man-5,2WD,Gasoline,SUV,6.0,18,23,20,6,no
HONDA Element,2.4,4,Auto-L5,2WD,Gasoline,SUV,6.0,20,25,22,6,no
HONDA Element,2.4,4,Man-5,4WD,Gasoline,SUV,6.0,18,23,20,6,no
HONDA Element,2.4,4,Auto-L5,4WD,Gasoline,SUV,6.0,19,24,21,6,no
HONDA Fit,1.5,4,Auto-S5,2WD,Gasoline,station wagon,6.0,27,33,29,8,yes
HONDA Fit,1.5,4,Auto-L5,2WD,Gasoline,station wagon,6.0,27,34,30,8,yes
HONDA Fit,1.5,4,Man-5,2WD,Gasoline,station wagon,6.0,28,34,31,9,yes
HONDA Odyssey,3.5,6,Auto-L5,2WD,Gasoline,minivan,7.0,16,23,18,5,no
HONDA Odyssey,3.5,6,Auto-L5,2WD,Gasoline,minivan,7.0,17,25,20,6,no
HONDA Pilot,3.5,6,Auto-L5,2WD,Gasoline,SUV,7.0,16,22,18,5,no
HONDA Pilot,3.5,6,Auto-L5,4WD,Gasoline,SUV,7.0,15,20,17,4,no
HONDA Ridgeline,3.5,6,Auto-L5,4WD,Gasoline,pickup,7.0,15,20,17,4,no
HONDA S2000,2.2,4,Man-6,2WD,Gasoline,small car,6.0,18,25,21,6,no
HUMMER H3,3.7,5,Man-5,4WD,Gasoline,SUV,6.0,13,18,15,3,no
HUMMER H3,3.7,5,Auto-L4,4WD,Gasoline,SUV,6.0,14,18,15,3,no
HYUNDAI Accent,1.6,4,Auto-L4,2WD,Gasoline,small car,7.0,24,33,28,8,yes
HYUNDAI Accent,1.6,4,Man-5,2WD,Gasoline,small car,7.0,27,32,29,8,yes
HYUNDAI Azera,3.3,6,Auto-L5,2WD,Gasoline,large car,7.0,18,26,21,6,yes
HYUNDAI Azera,3.8,6,Auto-L5,2WD,Gasoline,large car,7.0,17,26,20,6,yes
HYUNDAI Elantra,2.0,4,Auto-L4,2WD,Gasoline,midsize car,9.5,25,33,28,8,yes
HYUNDAI Elantra,2.0,4,Man-5,2WD,Gasoline,midsize car,7.0,24,33,27,8,yes
HYUNDAI Elantra,2.0,4,Auto-L4,2WD,Gasoline,midsize car,7.0,25,33,28,8,yes
HYUNDAI Entourage,3.8,6,Auto-L5,2WD,Gasoline,minivan,7.0,16,23,18,5,no
HYUNDAI Santa Fe,2.7,6,Man-5,2WD,Gasoline,SUV,7.0,17,24,20,6,yes
HYUNDAI Santa Fe,2.7,6,Auto-L4,2WD,Gasoline,SUV,7.0,18,24,20,6,yes
HYUNDAI Santa Fe,2.7,6,Auto-L4,4WD,Gasoline,SUV,7.0,17,23,19,5,no
HYUNDAI Santa Fe,2.7,6,Man-5,4WD,Gasoline,SUV,7.0,17,23,19,5,no
HYUNDAI Santa Fe,3.3,6,Auto-L5,2WD,Gasoline,SUV,7.0,17,24,20,6,yes
HYUNDAI Santa Fe,3.3,6,Auto-L5,4WD,Gasoline,SUV,7.0,17,24,19,5,no
HYUNDAI Sonata,2.4,4,Auto-L4,2WD,Gasoline,large car,7.0,21,30,24,7,yes
HYUNDAI Sonata,2.4,4,Man-5,2WD,Gasoline,large car,7.0,21,31,25,7,yes
HYUNDAI Sonata,3.3,6,Auto-L5,2WD,Gasoline,large car,7.0,19,28,22,6,yes
HYUNDAI Tiburon,2.0,4,Auto-L4,2WD,Gasoline,small car,7.0,20,27,22,6,yes
HYUNDAI Tiburon,2.0,4,Man-5,2WD,Gasoline,small car,7.0,20,28,23,7,yes
HYUNDAI Tiburon,2.7,6,Man-6,2WD,Gasoline,small car,6.0,16,24,19,5,no
HYUNDAI Tiburon,2.7,6,Auto-L4,2WD,Gasoline,small car,6.0,17,24,20,6,no
HYUNDAI Tiburon,2.7,6,Man-5,2WD,Gasoline,small car,6.0,17,24,20,6,no
HYUNDAI Tucson,2.0,4,Auto-L4,2WD,Gasoline,SUV,7.0,19,25,22,6,yes
HYUNDAI Tucson,2.0,4,Man-5,2WD,Gasoline,SUV,7.0,20,25,22,6,yes
HYUNDAI Tucson,2.0,4,Man-5,4WD,Gasoline,SUV,7.0,19,24,21,6,yes
HYUNDAI Tucson,2.7,6,Auto-L4,2WD,Gasoline,SUV,6.0,18,24,20,6,no
HYUNDAI Tucson,2.7,6,Auto-L4,4WD,Gasoline,SUV,6.0,17,23,19,5,no
HYUNDAI Veracruz,3.8,6,Auto-L6,2WD,Gasoline,SUV,6.0,16,23,18,5,no
HYUNDAI Veracruz,3.8,6,Auto-L6,4WD,Gasoline,SUV,6.0,15,22,18,5,no
INFINITI FX35,3.5,6,Auto-S5,2WD,Gasoline,SUV,6.0,15,22,18,5,no
INFINITI FX35,3.5,6,Auto-S5,4WD,Gasoline,SUV,6.0,15,20,17,4,no
INFINITI FX45,4.5,8,Auto-S5,4WD,Gasoline,SUV,6.0,13,17,14,2,no
INFINITI G35,3.5,6,Auto-S5,2WD,Gasoline,midsize car,7.0,17,24,20,6,yes
INFINITI G35,3.5,6,Man-6,2WD,Gasoline,midsize car,7.0,17,25,20,6,yes
INFINITI G35X,3.5,6,Auto-S5,4WD,Gasoline,midsize car,7.0,17,23,19,5,no
INFINITI G37,3.7,6,Man-6,2WD,Gasoline,small car,7.0,17,26,20,6,yes
INFINITI G37,3.7,6,Auto-S5,2WD,Gasoline,small car,7.0,18,24,20,6,yes
INFINITI M35,3.5,6,Auto-S5,2WD,Gasoline,large car,6.0,16,23,19,5,no
INFINITI M35X,3.5,6,Auto-S5,4WD,Gasoline,large car,6.0,16,22,18,5,no
INFINITI M45,4.5,8,Auto-S5,2WD,Gasoline,large car,6.0,16,21,18,5,no
INFINITI M45X,4.5,8,Auto-S5,4WD,Gasoline,large car,6.0,14,20,16,4,no
INFINITI QX56,5.6,8,Auto-L5,2WD,Gasoline,SUV,6.0,12,18,14,2,no
INFINITI QX56,5.6,8,Auto-L5,4WD,Gasoline,SUV,6.0,12,17,14,2,no
JEEP Commander,3.7,6,Auto-L5,2WD,Gasoline,SUV,6.0,14,19,16,4,no
JEEP Commander,3.7,6,Auto-L5,4WD,Gasoline,SUV,6.0,14,19,16,4,no
JEEP Commander,4.7,8,Auto-L5,2WD,Gasoline,SUV,6.0,14,19,15,3,no
JEEP Commander,4.7,8,Auto-L5,4WD,Gasoline,SUV,6.0,13,18,14,2,no
JEEP Commander,5.7,8,Auto-L5,2WD,Gasoline,SUV,6.0,13,19,15,3,no
JEEP Commander,5.7,8,Auto-L5,4WD,Gasoline,SUV,6.0,13,17,14,2,no
JEEP Compass,2.4,4,Man-5,2WD,Gasoline,SUV,7.0,23,28,25,7,yes
JEEP Compass,2.4,4,Auto-AV,4WD,Gasoline,SUV,7.0,21,24,22,6,yes
JEEP Compass,2.4,4,Man-5,4WD,Gasoline,SUV,7.0,22,27,24,7,yes
JEEP Grand Cherokee,3.7,6,Auto-L5,2WD,Gasoline,SUV,6.0,15,20,17,4,no
JEEP Grand Cherokee,3.7,6,Auto-L5,4WD,Gasoline,SUV,6.0,15,19,17,4,no
JEEP Grand Cherokee,4.7,8,Auto-L5,2WD,Gasoline,SUV,6.0,14,19,15,3,no
JEEP Grand Cherokee,4.7,8,Auto-L5,4WD,Gasoline,SUV,6.0,14,19,15,3,no
JEEP Grand Cherokee,5.7,8,Auto-L5,2WD,Gasoline,SUV,6.0,13,19,15,3,no
JEEP Grand Cherokee,5.7,8,Auto-L5,4WD,Gasoline,SUV,6.0,13,18,15,3,no
JEEP Grand Cherokee,6.1,8,Auto-L5,4WD,Gasoline,SUV,6.0,11,14,12,0,no
JEEP Liberty,3.7,6,Auto-L4,2WD,Gasoline,SUV,7.0,16,22,18,5,no
JEEP Liberty,3.7,6,Auto-L4,4WD,Gasoline,SUV,7.0,15,21,17,4,no
JEEP Liberty,3.7,6,Auto-L4,2WD,Gasoline,SUV,6.0,16,22,18,5,no
JEEP Liberty,3.7,6,Man-6,2WD,Gasoline,SUV,6.0,16,22,19,5,no
JEEP Liberty,3.7,6,Auto-L4,4WD,Gasoline,SUV,6.0,15,21,17,4,no
JEEP Liberty,3.7,6,Man-6,4WD,Gasoline,SUV,6.0,16,22,18,5,no
JEEP Patriot,2.4,4,Man-5,2WD,Gasoline,SUV,7.0,23,28,25,7,yes
JEEP Patriot,2.4,4,Auto-AV,4WD,Gasoline,SUV,7.0,20,22,21,6,yes
JEEP Patriot,2.4,4,Auto-AV,4WD,Gasoline,SUV,7.0,21,24,22,6,yes
JEEP Patriot,2.4,4,Man-5,4WD,Gasoline,SUV,7.0,22,27,24,7,yes
JEEP Wrangler,3.8,6,Auto-L4,2WD,Gasoline,SUV,7.0,15,20,17,4,no
JEEP Wrangler,3.8,6,Man-6,2WD,Gasoline,SUV,7.0,16,21,18,5,no
JEEP Wrangler,3.8,6,Man-6,4WD,Gasoline,SUV,7.0,15,19,16,4,no
JEEP Wrangler,3.8,6,Auto-L4,4WD,Gasoline,SUV,7.0,15,19,17,4,no
KIA Amanti,3.8,6,Auto-L5,2WD,Gasoline,large car,7.0,17,24,19,5,no
KIA Optima,2.4,4,Auto-L5,2WD,Gasoline,midsize car,7.0,21,31,25,7,yes
KIA Optima,2.4,4,Man-5,2WD,Gasoline,midsize car,7.0,21,31,25,7,yes
KIA Rio,1.6,4,Auto-L4,2WD,Gasoline,small car,7.0,25,35,29,8,yes
KIA Rio,1.6,4,Man-5,2WD,Gasoline,small car,7.0,27,32,29,8,yes
KIA Rondo,2.4,4,Auto-L4,2WD,Gasoline,station wagon,7.0,19,26,22,6,yes
KIA Rondo,2.7,6,Auto-L5,2WD,Gasoline,station wagon,7.0,18,26,21,6,yes
KIA Sedona,3.8,6,Auto-L5,2WD,Gasoline,minivan,7.0,16,23,18,5,no
KIA Sorento,3.8,6,Auto-L5,2WD,Gasoline,SUV,6.0,15,21,17,4,no
KIA Sorento,3.8,6,Auto-L5,4WD,Gasoline,SUV,6.0,15,20,17,4,no
KIA Spectra,2.0,4,Auto-L4,2WD,Gasoline,midsize car,9.5,24,32,27,8,yes
KIA Spectra,2.0,4,Man-5,2WD,Gasoline,midsize car,7.0,23,30,26,8,yes
KIA Spectra,2.0,4,Auto-L4,2WD,Gasoline,midsize car,7.0,24,32,27,8,yes
KIA Sportage,2.0,4,Auto-L4,2WD,Gasoline,SUV,7.0,19,25,21,6,yes
KIA Sportage,2.0,4,Man-5,2WD,Gasoline,SUV,7.0,20,25,22,6,yes
KIA Sportage,2.0,4,Man-5,4WD,Gasoline,SUV,7.0,19,24,21,6,yes
KIA Sportage,2.7,6,Auto-L4,2WD,Gasoline,SUV,6.0,17,23,20,6,no
KIA Sportage,2.7,6,Auto-L4,4WD,Gasoline,SUV,6.0,17,21,19,5,no
LAMBORGHINI Gallardo Coupe,5.0,10,Man-6,4WD,Gasoline,small car,6.0,10,17,13,1,no
LAMBORGHINI Gallardo Coupe,5.0,10,Auto-S6,4WD,Gasoline,small car,6.0,11,17,13,1,no
