Age,Education,Salary
25,Bachelors,43.9
30,Bachelors,54.4
45,Bachelors,62.5
55,Bachelors,72.5
65,Bachelors,74.6
35,Doctorate,77.5
55,Doctorate,95.7
65,Doctorate,105.1
25,Diploma,16.8
30,Diploma,20
35,Diploma,31.2
45,Diploma,39.3
55,Diploma,58.7
65,Diploma,36.4
25,Masters,50.4
35,Masters,61.7
45,Masters,74.7
65,Masters,82.9
45,Professional,115.5
55,Professional,118
24,Bachelors,45
25,Masters,53.5
30,Bachelors,52.3
32,Bachelors,51.5
33,Diploma,39.9
35,Doctorate,65.1
45,Bachelors,68.8
57,Bachelors,72.5
55,Doctorate,93.7
65,Professional,98.1