FILM,RottenTomatoes,RottenTomatoes_User,Metacritic,Metacritic_User,IMDB,Metacritic_user_vote_count,IMDB_user_vote_count
Avengers: Age of Ultron (2015),74,86,66,7.1,7.8,1330,271107
Cinderella (2015),85,80,67,7.5,7.1,249,65709
Ant-Man (2015),80,90,64,8.1,7.8,627,103660
Do You Believe? (2015),18,84,22,4.7,5.4,31,3136
Hot Tub Time Machine 2 (2015),14,28,29,3.4,5.1,88,19560
The Water Diviner (2015),63,62,50,6.8,7.2,34,39373
Irrational Man (2015),42,53,53,7.6,6.9,17,2680
Top Five (2014),86,64,81,6.8,6.5,124,16876
Shaun the Sheep Movie (2015),99,82,81,8.8,7.4,62,12227
Love & Mercy (2015),89,87,80,8.5,7.8,54,5367
Far From The Madding Crowd (2015),84,77,71,7.5,7.2,35,12129
Black Sea (2015),82,60,62,6.6,6.4,37,16547
Leviathan (2014),99,79,92,7.2,7.7,145,22521
Unbroken (2014),51,70,59,6.5,7.2,218,77518
The Imitation Game (2014),90,92,73,8.2,8.1,566,334164
Taken 3 (2015),9,46,26,4.6,6.1,240,104235
Ted 2 (2015),46,58,48,6.5,6.6,197,49102
Southpaw (2015),59,80,57,8.2,7.8,128,23561
Night at the Museum: Secret of the Tomb (2014),50,58,47,5.8,6.3,103,50291
Pixels (2015),17,54,27,5.3,5.6,246,19521
"McFarland, USA (2015)",79,89,60,7.2,7.5,59,13769
Insidious: Chapter 3 (2015),59,56,52,6.9,6.3,115,25134
The Man From U.N.C.L.E. (2015),68,80,55,7.9,7.6,144,22104
Run All Night (2015),60,59,59,7.3,6.6,141,50438
Trainwreck (2015),85,74,75,6.0,6.7,169,27380
Selma (2014),99,86,89,7.1,7.5,316,45344
Ex Machina (2015),92,86,78,7.9,7.7,672,154499
Still Alice (2015),88,85,72,7.8,7.5,153,57123
Wild Tales (2014),96,92,77,8.8,8.2,107,50285
The End of the Tour (2015),92,89,84,7.5,7.9,19,1320
Red Army (2015),96,86,82,7.4,7.7,11,2275
When Marnie Was There (2015),89,89,71,6.4,7.8,29,4160
The Hunting Ground (2015),92,72,77,7.8,7.5,6,1196
The Boy Next Door (2015),10,35,30,5.5,4.6,75,19658
Aloha (2015),19,31,40,4.0,5.5,67,12255
The Loft (2015),11,40,24,2.4,6.3,80,21319
5 Flights Up (2015),52,47,55,6.8,6.1,6,2174
Welcome to Me (2015),71,47,67,6.9,5.9,33,8301
Saint Laurent (2015),51,45,52,6.8,6.3,8,2196
Maps to the Stars (2015),60,46,67,5.8,6.3,46,22440
I'll See You In My Dreams (2015),94,70,75,6.9,6.9,14,1151
Timbuktu (2015),99,78,91,6.9,7.2,37,6246
About Elly (2015),97,86,87,9.6,8.2,23,20659
The Diary of a Teenage Girl (2015),95,81,87,6.3,7.0,18,1107
Kingsman: The Secret Service (2015),75,84,58,7.9,7.8,1054,272204
Tomorrowland (2015),50,53,60,6.4,6.6,262,42937
The Divergent Series: Insurgent (2015),30,61,42,5.4,6.4,206,89618
Annie (2014),27,61,33,4.8,5.2,108,19222
Fantastic Four (2015),9,20,27,2.5,4.0,421,39838
Terminator Genisys (2015),26,60,38,6.4,6.9,779,85585
Pitch Perfect 2 (2015),67,68,63,5.7,6.7,192,56333
Entourage (2015),32,68,38,5.2,7.1,96,21914
The Age of Adaline (2015),54,68,51,7.4,7.3,100,45510
Hot Pursuit (2015),8,37,31,3.7,4.9,78,17061
The DUFF (2015),71,68,56,6.4,6.6,69,33594
Black or White (2015),39,68,45,7.9,6.6,24,4857
Project Almanac (2015),34,46,47,5.4,6.4,95,40057
Ricki and the Flash (2015),64,53,54,7.0,6.2,37,1769
Seventh Son (2015),12,35,30,3.9,5.5,126,41177
Mortdecai (2015),12,30,27,3.2,5.5,144,31878
Unfinished Business (2015),11,27,32,3.8,5.4,39,14346
American Ultra (2015),46,52,50,6.8,6.5,42,3017
True Story (2015),45,41,50,5.7,6.3,37,16069
Child 44 (2015),26,44,41,5.3,6.4,73,19220
Dark Places (2015),26,33,39,7.9,6.3,18,9856
Birdman (2014),92,78,88,8.0,7.9,1171,303505
The Gift (2015),93,79,77,8.3,7.6,121,10891
Unfriended (2015),60,39,59,5.8,5.9,130,22348
Monkey Kingdom (2015),94,77,72,7.5,7.3,15,883
Mr. Turner (2014),98,56,94,6.6,6.9,98,13296
Seymour: An Introduction (2015),100,87,83,6.0,7.7,4,243
The Wrecking Crew (2015),93,84,67,7.0,7.8,4,732
American Sniper (2015),72,85,72,6.6,7.4,850,251856
Furious 7 (2015),81,84,67,6.8,7.4,764,207211
The Hobbit: The Battle of the Five Armies (2014),61,75,59,7.0,7.5,903,289464
San Andreas (2015),50,58,43,5.5,6.5,199,45723
Straight Outta Compton (2015),90,94,72,7.3,8.4,90,15982
Vacation (2015),27,55,34,6.2,6.3,72,8179
Chappie (2015),30,57,41,7.4,7.0,637,125088
Poltergeist (2015),31,24,47,3.7,5.0,142,21372
Paper Towns (2015),55,57,56,6.2,6.9,51,14156
Big Eyes (2014),72,69,62,7.5,7.0,127,39152
Blackhat (2015),34,25,51,5.4,5.4,80,27328
Self/less (2015),20,51,34,8.4,6.6,77,5626
Sinister 2 (2015),13,34,31,5.0,5.5,37,3200
Little Boy (2015),20,81,30,5.9,7.4,38,5927
Me and Earl and The Dying Girl (2015),81,89,74,8.4,8.2,41,5269
Maggie (2015),54,32,52,6.5,5.6,90,18986
Mad Max: Fury Road (2015),97,88,89,8.7,8.3,2375,292023
Spy (2015),93,82,75,6.3,7.3,318,66636
The SpongeBob Movie: Sponge Out of Water (2015),78,55,62,6.5,6.1,196,26046
Paddington (2015),98,81,77,8.2,7.2,149,38593
Dope (2015),87,86,72,7.2,7.5,43,4911
What We Do in the Shadows (2015),96,86,75,8.3,7.6,69,39561
The Overnight (2015),82,65,65,8.6,6.9,13,867
The Salt of the Earth (2015),96,90,83,7.8,8.4,13,6605
Song of the Sea (2014),99,92,86,8.2,8.2,62,14067
Fifty Shades of Grey (2015),25,42,46,3.2,4.2,778,179506
Get Hard (2015),29,48,34,3.8,6.1,145,50022
Focus (2015),57,54,56,6.2,6.6,167,101264
Jupiter Ascending (2015),26,40,40,4.5,5.5,503,105412
The Gallows (2015),16,27,30,7.0,4.4,80,5511
The Second Best Exotic Marigold Hotel (2015),62,63,51,6.1,6.6,41,12940
Strange Magic (2015),17,50,25,5.3,5.7,41,3658
The Gunman (2015),17,34,39,4.3,5.8,49,16663
Hitman: Agent 47 (2015),7,49,28,3.3,5.9,67,4260
Cake (2015),49,47,49,6.4,6.5,44,19627
The Vatican Tapes (2015),13,21,37,5.4,4.6,5,952
A Little Chaos (2015),40,47,51,7.0,6.4,7,4778
The 100-Year-Old Man Who Climbed Out the Window and Disappeared (2015),67,69,58,4.6,7.1,5,17237
Escobar: Paradise Lost (2015),52,52,56,6.9,6.6,7,7819
Into the Woods (2014),71,50,69,6.1,6.0,307,81679
It Follows (2015),96,65,83,7.5,6.9,551,64656
Inherent Vice (2014),73,52,81,7.4,6.7,286,44711
A Most Violent Year (2014),90,69,79,7.0,7.1,133,32166
While We're Young (2015),83,52,76,6.7,6.4,65,17647
Clouds of Sils Maria (2015),89,67,78,7.1,6.8,36,11392
Testament of Youth (2015),81,79,77,7.9,7.3,15,5495
Infinitely Polar Bear (2015),80,76,64,7.9,7.2,8,1062
Phoenix (2015),99,81,91,8.0,7.2,21,3687
The Wolfpack (2015),84,73,75,7.0,7.1,8,1488
The Stanford Prison Experiment (2015),84,87,68,8.5,7.1,6,950
Tangerine (2015),95,86,86,7.3,7.4,14,696
Magic Mike XXL (2015),62,64,60,5.4,6.3,52,11937
Home (2015),45,65,55,7.3,6.7,177,41158
The Wedding Ringer (2015),27,66,35,3.3,6.7,126,37292
Woman in Gold (2015),52,81,51,7.2,7.4,72,17957
The Last Five Years (2015),60,60,60,6.9,6.0,20,4110
Mission: Impossible â€“ Rogue Nation (2015),92,90,75,8.0,7.8,362,82579
Amy (2015),97,91,85,8.8,8.0,60,5630
Jurassic World (2015),71,81,59,7.0,7.3,1281,241807
Minions (2015),54,52,56,5.7,6.7,204,55895
Max (2015),35,73,47,5.9,7.0,15,5444
Paul Blart: Mall Cop 2 (2015),5,36,13,2.4,4.3,211,15004
The Longest Ride (2015),31,73,33,4.8,7.2,49,25214
The Lazarus Effect (2015),14,23,31,4.9,5.2,62,17691
The Woman In Black 2 Angel of Death (2015),22,25,42,4.4,4.9,55,14873
Danny Collins (2015),77,75,58,7.1,7.1,33,11206
Spare Parts (2015),52,83,50,7.1,7.2,7,47377
Serena (2015),18,25,36,5.3,5.4,19,12165
Inside Out (2015),98,90,94,8.9,8.6,807,96252
Mr. Holmes (2015),87,78,67,7.9,7.4,33,7367
'71 (2015),97,82,83,7.5,7.2,60,24116
"Two Days, One Night (2014)",97,78,89,8.8,7.4,123,24345
Gett: The Trial of Viviane Amsalem (2015),100,81,90,7.3,7.8,19,1955
"Kumiko, The Treasure Hunter (2015)",87,63,68,6.4,6.7,19,5289
